text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges,text_en
" Szukam miejsc, w których mogę zrelaksować się wokół pięknych krajobrazów, a jednocześnie cieszyć się wyjątkowymi zabytkami i tradycjami.. Jestem głównie zainteresowany przyrodą, architekturą i kulturą lokalną.Jestem turystą, który uwielbia spokojne miejsca z dala od zgiełku",Planuję wycieczkę w okresie od 15 sierpnia do 31 sierpnia 2023 roku.,2,3,2,2,3,2,2,2,4,4,5,3,3,4,2,3,3,4,4,3,3,3,2,4,4,3,2,3,3,3,3,3,2,4,3,3,3,4,4,4,4,3,4,4,4,3,3,3,3,2,4,4,4,"I am a tourist who loves peaceful places away from the hustle and bustle.I am mainly interested in nature, architecture and local culture.I am looking for places where I can relax around beautiful landscapes and at the same time enjoy unique monuments and traditions."
"Moje zainteresowania leżą w literaturze i sztuce, które lubię czytać na stronach książek, odwiedzanie muzeów, uczestniczenie w wydarzeniach kulturalnych, studiowanie historii i architektury mojego otoczenia, przyciągnięcia spokojenia miejsc kulturowych i ciesząc się pięknem artystycznychWyrażenia.","lipiec 2023, 7 dni.",1,2,1,2,3,1,1,1,2,4,5,2,3,2,1,1,4,5,5,4,4,3,3,4,5,3,2,3,2,4,3,4,3,3,2,4,2,4,4,4,5,4,5,4,5,3,3,2,2,2,3,5,3,"I am a lover of literature and art.I spend my free time reading books, visiting museums and participation in cultural events.I am interested in the history and architecture of the places I visit.I prefer calm, cultural places and value the beauty of artistic experiences."
"Lubię także odwiedzać miejsca w sercu natury, gdzie atmosfera jest wciąż i naprawdę autentyczna.Mam pasję czytania książek i robienia zdjęć krajobrazów.W wolnym czasie lubię odkrywać muzea, galerie sztuki i starożytne lokalizacje.","lipiec 2023, 14 dni.",1,3,2,2,2,1,1,1,2,4,4,2,3,3,3,2,5,4,5,3,4,3,3,5,4,4,1,4,2,4,3,4,3,4,2,4,2,5,3,5,5,3,5,4,5,2,1,1,2,2,4,5,3,"I am passionate about the history of art and literature.In my free time, I love to visit museums, art galleries and ancient places.I like reading books and landscape photography.I prefer calm and cultural places where I can enjoy the atmosphere and beauty of the environment."
"Skupiamy się na zapewnianiu dzieciom przyjemnych doświadczeń i zapewnianiu ich dobrego samopoczucia..Jako turysta staram się odwiedzić bezpieczne i kochające zabawę miejsc, które są odpowiednie dla rodzin",Planujemy podróż w okresie od 10 lipca do 25 lipca 2023 roku.,5,4,5,4,4,3,4,3,4,5,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,"I am a tourist traveling with my family, focusing on children -friendly places and offering various attractions for each family member.We care about safety, play and interesting experiences for children."
".Jestem fanem nowych technologii i uwielbiam odkrywać miejsca, w których innowacje idą w parze z pięknem architektury. W moim wolnym czasie jestem zafascynowany światem programowania i traktuję podróż jako okazję do odkrywania nowoczesnych rozwiązań iInspirujące projekty",Moja wycieczka odbędzie się od 15 sierpnia do 30 sierpnia 2023 roku.,2,3,1,1,1,1,1,1,2,2,2,1,3,1,1,1,5,2,2,1,1,1,1,2,3,1,1,2,1,1,1,1,1,2,1,3,2,2,4,3,4,2,3,3,4,2,1,1,1,4,5,3,3,"I am a fan of new technologies and I love to explore places where innovations go hand in hand with the beauty of architecture.In my free time I am fascinated by the world of programming, and I treat travel as an opportunity to discover modern solutions and inspiring projects."
".Moje hobby i czas wolny obracają się wokół gry na zewnątrz, szczególnie w świecie przyrody","Najbardziej cenię sobie podróże latem, gdy można korzystać z ciepłej pogody i uprawiać ulubione sporty na świeżym powietrzu.",3,2,4,2,4,5,4,1,2,3,5,4,2,3,1,2,2,1,2,1,1,1,1,3,4,3,1,2,1,1,2,3,1,3,1,1,3,2,3,3,2,2,4,3,4,1,1,4,3,2,4,4,3,"I like spending time on sports and recreational activities.My interests focus mainly around outdoor activity, especially in the environment of nature."
" Najczęściej spędzam wolny czas w miejscach oferujących różnorodne naturalne otoczenie i możliwość aktywnego odpoczynku.Jestem miłośnikiem natury i aktywności fizycznej, namiętna geografia. Moje hobby to eksploracja różnych krajobrazów miejskich i aktywności na świeżym powietrzu.",Moja wycieczka odbędzie się od 10 sierpnia do 25 sierpnia 2023 roku.,2,3,4,2,3,4,3,2,4,5,5,3,3,4,2,1,3,2,3,2,1,1,1,3,4,3,2,3,2,3,3,1,2,4,3,2,3,3,5,3,2,3,4,3,4,2,2,3,3,2,3,3,4,"I am a lover of nature and physical activity, passionate geography.My hobby is the exploration of various urban landscapes and outdoor activity.I most often spend my free time in places offering diverse natural surroundings and the possibility of active rest."
".Moje hobby obejmują następujące trendy PR, analizowanie opinii publicznych i tworzenie skutecznych kampanii komunikacyjnych. Public relations w dużym biurze korporacyjnym jestem zainteresowany poprawą wizerunku firmy poprzez zarządzanie komunikacją, planowanie wydarzeń i rozwój strategii.Jako specjalista ds","Planuję krótką podróż biznesową na 4 dni, od 5 do 8 stycznia 2025 roku.",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,2,1,1,1,2,1,1,"I am a specialist in public relations in a large corporate office with interest in building a positive image of the company.My areas of interest include communication management with the media, organization of company events and developing PR strategy.Hobbies are tracking trends in the field of PR, public opinion analysis and creating effective communication campaigns.I spend my free time building relationships with stakeholders and develop communication skills."
"Lubię przygodę i sport, spędzając czas wolny na zewnątrz..Zaintrygowuje mnie sport ekstremalny, jak i lokalny styl życia","Planuję dłuższą wycieczkę trwającą dwa tygodnie, która rozpocznie się za trzy miesiące.",4,3,5,2,4,5,5,4,3,4,4,3,2,1,2,3,1,2,1,2,2,1,1,3,3,3,2,3,4,3,2,2,1,3,1,2,3,2,3,2,1,2,3,2,3,1,1,3,2,4,4,2,3,"I am an enthusiast of sport and adventures.I most often spend my free time on outdoor activities.I am interested in extreme sports, but also local culture."
"Jestem entuzjastą filmu, który lubi odkrywać zdjęcia i spędzać czas w lokalizacjach, które pokazują historię filmów.","Planuję swoją wycieczkę na grudzień. Będzie trwała 6 dni, od 10 grudnia do 15 grudnia.",1,2,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,4,5,3,2,4,4,1,1,1,1,3,1,1,"I am an enthusiast of film festivals and I love to explore places related to cinematography.My hobby is watching movies, participating in film festivals and visiting places related to the history of cinema.I most often spend my free time in places where I can draw on the cultural wealth of the world of film."
" Moje hobby obejmuje odwiedzanie miejsc z różnymi wyznaczami, poznanie różnych kultur i uczestnictwem w wydarzeniach związanych z historią i nowoczesnością danego regionu.Jestem turystą z zainteresowaniami religijnymi, filozoficznymi i politycznymi.","Planuję swoją wycieczkę na październik. Będzie trwała 10 dni, od 5 października do 15 października.",2,3,2,2,2,1,2,1,3,3,3,2,3,2,2,1,3,4,4,4,4,5,5,3,3,2,1,2,1,3,3,4,2,3,2,1,2,3,3,3,3,2,4,4,4,2,2,2,2,3,4,4,3,"I am a tourist with religious, philosophical and political interests.My hobby includes visiting places with different denominations, learning about different cultures and participation in events related to the history and modernity of a given region."
".Jestem turystą, który lubi odkrywać na świeżym powietrzu i cieszyć się scenerią, więc cenię miejsca docelowe z zapierającymi dech w piersiach widokami, parkami narodowymi, szlakami turystycznymi i ekscytującymi atrakcjami",Planuję podróż w okresie od 1 września do 15 września 2023 roku.,2,1,1,2,2,4,3,2,3,5,5,3,2,3,1,2,1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,4,3,1,3,2,1,"I am a tourist who loves nature and physical activity.During the trip, I value places offering beautiful landscapes, national parks, tourist trails and attractions related to outdoor activities."
"Ponadto często czytam lub słucham książek w wolnym czasie i lubię próbować lokalnych potraw.Mam silną pasję do odkrywania muzeów, galerii i wydarzeń kulturalnych.Podróżowanie do egzotycznych miejsc z ich bogatą historią i architekturą jest czymś, co kocham.Jestem osobą, która lubi kulturę i sztukę.","Planuję krótką wizytę trwającą około 5 dni, aby skoncentrować się na intensywnym doświadczaniu kulturalnych atrakcji danego miejsca oraz spróbowaniu lokalnych smakołyków.",3,4,2,2,3,2,3,2,3,3,4,3,4,2,3,3,5,4,4,3,4,2,2,4,4,3,1,4,3,4,3,3,2,4,1,4,3,4,4,4,5,3,5,4,5,3,3,3,3,4,4,5,4,"I am a person with great passions for culture and art.I love spending time visiting museums, art gallery and participation in cultural events.I also value travel, especially those that allow me to discover fascinating places with rich history and architecture.In my free time, I often reach for good books and I like to try local culinary specialties."
