,text,date,amusement_parks,ferris_wheels,water_parks,miniature_parks,baths_and_saunas,climbing,stadiums,winter_sports,natural_springs,water,nature_reserves,beaches,railway_stations,dams,mints,mineshafts,science_museums,churches,cathedrals,monasteries,synagogues,hindu_temples,mosques,archaeology,castles,fortified_towers,bunkers,military_museums,battlefields,war_graves,cemeteries,mausoleums,crypts,monuments,tumuluses,wall_painting,fountains,sculptures,gardens_and_parks,archaeological_museums,art_galleries,biographical_museums,history_museums,local_museums,national_museums,fashion_museums,planetariums,zoos,aquariums,skyscrapers,towers,historic_architecture,bridges
0,"Jestem również zadowolony z odwiedzania zoo ze względu na moje zainteresowania zwierząt, spędzanie czasu w naturze, pracując nad projektami lub czytanie książek podczas relaksu w ogrodzie;I lubię odkrywać po drodze obszary wiejskie..Moja miłość do ogrodnictwa jest widoczna w parkach, ogrodach i ogrodach botanicznych, które planuję na podróż jako turysta",trzydniowa wycieczka 28-30 kwietnia 2024,1,1,1,3,1,0,1,1,3,4,5,1,1,2,0,2,2,5,5,5,3,2,2,2,4,3,2,1,1,1,2,2,2,2,2,2,2,1,5,2,2,2,2,3,3,0,3,5,5,1,2,3,1
1,".Restauracje to moje miejsca na posiłki, lubię mechanikę samochodów, naprawy komputerów i grać na gitarze w wolnym czasie",W środe od 13 do 18 czerwca ,5,3,4,3,5,4,4,3,4,5,3,2,5,3,4,5,3,5,5,5,4,2,3,2,5,5,5,5,5,4,5,3,3,4,2,4,5,5,3,4,3,4,2,3,5,3,3,5,3,5,3,4,5
2,".W Krakow mam pasję do lotnictwa i lubię spacery po lesie, ciesząc się lokalną kuchnią",Jestem tam przez cały rok,4,3,2,2,3,4,1,0,4,4,4,4,3,4,1,3,4,2,2,2,2,2,2,3,4,4,4,4,4,3,1,1,2,2,0,4,4,2,2,3,3,3,3,3,4,0,4,4,4,5,5,3,5
3,"Doceniam również aktywne chwile, ale także muszę być obecny przez spokojny czas.Moje posiłki składają się z lokalnych potraw lub egzotycznych potraw.Interesuje mnie fizyka, matematyka i historia.Kiedy nie pracuję, lubię czytać książki, rysować i uczyć się nowych języków.",24 listopada ,5,3,5,3,5,0,2,2,1,1,1,2,2,2,3,4,5,1,1,1,1,1,1,2,5,5,5,5,5,5,3,4,4,5,4,3,4,3,4,2,0,0,2,1,1,0,5,4,4,1,1,1,1
4,"Podobno podróżowanie i angażowanie nowych doświadczeń, a także cieszę się sushi w stylu japońskim i innych azjatyckich smakołyków kulinarnych.Moja fascynacja polega na odkrywaniu świata przyrody, spotykaniu natury i obserwowaniu roślin i zwierząt, dlatego lubię odwiedzać miejsca z wielkim podnieceniem.",W najbliższy weekend.,3,1,0,1,0,3,0,2,4,3,5,1,0,0,0,2,2,2,2,2,2,2,2,1,4,4,2,0,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,2,2,0,5,5,5,1,1,2,0
5,"Moje zainteresowania obejmują muzykę, problemy medyczne i odtwarzanie instrumentów muzycznych..Lubię spędzać wolny czas na zewnątrz, spotykać się z przyjaciółmi, odkrywać muzykę i sztukę, długie spacery i posiłki w kawiarniach",15-16 grudnia ,0,2,0,0,1,0,1,2,3,3,3,3,1,2,1,1,2,2,2,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,2,2,3,1,1,0,1,2,1,0,3,2,2,0,3,3,2
6,"Jeśli chodzi o jedzenie, lubię wypróbowywać lokalne potrawy lub wypróbowywać nieznane potrawy.Moje zainteresowania leżą w fizyce, matematyce i historii..Interesuje mnie czytanie książek, rysowanie i uczenie się nowych języków w czasie wolnym;Czasami pomaga być aktywnym, ale są też chwile, kiedy potrzebuję trochę przestojów przed przygodami",24 listopada ,5,3,5,3,5,0,2,2,1,1,1,2,2,2,3,4,5,1,1,1,1,1,1,2,5,5,5,5,5,5,3,4,4,5,4,3,4,3,4,2,0,0,2,1,1,0,5,4,4,1,1,1,1
7,".Lubimy razem wybrać się na wycieczki i jeść w tradycyjnych i lokalnych restauracjach, takich jak tawerny.Ma pasję do sztuki, historii i przyrody.Jego praca jest jego głównym źródłem przyjemności, a jego rodzina bardzo go interesuje",19 listopada caly dzień ,3,5,3,5,4,3,2,3,5,5,5,5,4,5,4,5,5,5,5,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,"Fascynuje mnie dążenie do przyrody, zwierząt i roślin, dlatego lubię podróżować do miejsc, które są ich otoczone..Mam pasję do odkrywania na świeżym powietrzu i doświadczania nowych miejsc, a także jedzących w restauracjach serwujących sushi i innych azjatyckich specjalności kulinarnych",W najbliższy weekend.,3,1,0,1,0,3,0,2,4,3,5,1,0,0,0,2,2,2,2,2,2,2,2,1,4,4,2,0,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,2,2,0,5,5,5,1,1,2,0
9,"Interesuje mnie również zwierzęta, zwłaszcza koty (które mogą być dzikie) i chętnie spędzam wolny czas w ogrodzie, pracuję w nim lub czytam książkę..Parki, ogrody i ogrody botaniczne należą do zajęć, które lubię podczas moich podróży jako turysta",trzydniowa wycieczka 28-30 kwietnia 2024,1,1,1,3,1,0,1,1,3,4,5,1,1,2,0,2,2,5,5,5,3,2,2,2,4,3,2,1,1,1,2,2,2,2,2,2,2,1,5,2,2,2,2,3,3,0,3,5,5,1,2,3,1
10,"Jego hobby to rysowanie, czytanie fantasy i odwiedzanie dobrze zachowanych zabytków.Lubi odkrywać zarówno sztukę, jak i architekturę, z preferencją dla tego pierwszego w dziale malarstwa, a drugim w krajobrazie.","Wycieczka zacznie się wyjazdem  22 listopada , o godzinie 9:30, zakończy 27 listopada a planowany powrót to godzina około 21:00",0,2,0,0,1,2,2,2,3,5,5,5,1,2,0,5,4,4,5,2,2,3,1,4,5,2,0,0,0,0,0,2,0,3,2,3,4,4,5,4,5,5,4,0,1,0,0,2,4,5,5,5,5
11,".Moje zainteresowania obejmują malowanie, czytanie książek i gotowanie w wolnym czasie",Moim marzeniem jechać jest na wycieczkę  do włoszech z moimi przyjaciółmi w wakacje. Data to przełom lipca i sierpnia rok 2025 na około tydzień do 2 tygodni.,1,0,5,3,5,0,2,4,4,5,4,5,3,2,3,2,3,5,4,5,1,1,1,2,5,2,2,4,3,2,2,2,2,3,3,4,4,5,4,2,5,2,3,2,5,3,4,5,5,2,2,5,5
12,"W wolnym czasie lubię malować, czytać książki i gotować, a on woli spokojną rozrywkę i lubi oglądać sztukę i piękną scenerię.Lubi także zwiedzać góry, laski i jeziora, a także spędzać czas z przyjaciółmi w parkach, ogrodach i miejscach sportowych.",Moim marzeniem jechać jest na wycieczkę  do włoszech z moimi przyjaciółmi w wakacje. Data to przełom lipca i sierpnia rok 2025 na około tydzień do 2 tygodni.,1,0,5,3,5,0,2,4,4,5,4,5,3,2,3,2,3,5,4,5,1,1,1,2,5,2,2,4,3,2,2,2,2,3,3,4,4,5,4,2,5,2,3,2,5,3,4,5,5,2,2,5,5
13,".Interesuje mnie książki, eksperymenty naukowe oraz sztukę i muzykę, które są również moimi zainteresowaniami.Lubię grać w gry planszowe z przyjaciółmi lub spędzać wolny czas, aby rozwinąć swoje hobby",od 8 do 13 stycznia ,4,2,1,1,0,4,2,2,4,5,4,2,4,2,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,5,3,3,5,3,5,4,5,5,4,4,3,3,2,5,4,3,3,2,5,3
14,"Mam pasję grać w RPG, w grach planszowych i LARP.Lubię również odwiedzanie muzeów i zabytków podczas eksploracji miast, górzyste regiony, jedząc dobre hamburgery i posiłki w restauracjach, które oferują tradycyjne polskie potrawy.Ponadto spędzam wolny czas w kręgach naukowych i czytam książki.",Dwa tygodnie w lipcu,1,1,1,1,3,1,1,2,3,3,3,4,2,2,3,3,4,3,4,3,3,4,4,2,4,4,3,3,2,3,3,3,3,2,2,4,3,3,3,3,4,4,4,5,4,3,5,4,4,3,5,5,3
15,"Ponadto lubię jeździć na rowerze i pływanie, a także spędzać czas na zewnątrz..Preferuję jadalnię i spędzanie czasu z przyjaciółmi",Od 5 do 30 sierpnia,5,3,5,3,5,4,0,3,5,5,2,5,4,3,2,4,5,4,2,4,3,5,5,3,4,3,5,2,1,3,5,2,1,4,2,3,4,2,5,3,2,4,3,2,4,5,5,3,4,5,3,4,2
16,"Mam pasję do muzyki i lubię odkrywać tematy medyczne.Moje hobby obejmują granie instrumentów muzycznych i śpiewanie, spędzanie czasu z przyjaciółmi oraz odwiedzanie muzyki i miejsc sztuki..Lubię też brać malownicze widoki na przyrodę, ciesząc się spacerami i spacerem po plaży lub razem na rowerze",15-16 grudnia ,0,2,0,0,1,0,1,2,3,3,3,3,1,2,1,1,2,2,2,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,2,2,3,1,1,0,1,2,1,0,3,2,2,0,3,3,2
17,"Lubi także odwiedzać ogrody zoologiczne i botaniczne, bawić się z przyrodą, uczestniczyć w sporcie i posiłki w restauracjach lub kawiarniach, które serwują tradycyjne potrawy.Lubi aktywny relaks, spacerując po niskich wysokościach, zwiedzanie historycznych miejsc i cieszenie się zwierzętami.Ma pasję do sportu, ogrodnictwa i motoryzacji.",Planuję wycieczkę 15 do 20 lipca 2024,4,5,2,5,5,0,5,5,5,5,5,4,0,3,2,5,5,5,5,5,5,5,5,4,5,5,5,5,3,2,2,2,3,4,1,2,4,3,4,3,3,3,4,4,5,5,5,5,5,2,4,4,2
18,"Ma pracę, która obejmuje hobby, takie jak granie na gitarze lub czytanie przez wiele godzin w weekendy, a także spędzanie czasu z rodziną, wychodząc na spacery i jedząc tradycyjne potrawy z restauracji, takich jak tawerny.Jego zainteresowania obejmują sztukę, historię i naturę.",19 listopada caly dzień ,3,5,3,5,4,3,2,3,5,5,5,5,4,5,4,5,5,5,5,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
